# host	command	capability	scope	probe_type	probe_value	failure_status	ttl_days	notes
codex-cli	codex	subagent_spawning	client	feature_flag_true	multi_agent	unavailable	30	Codex exposes this through `codex features list` when the local install supports it.
codex-cli	codex	session_resume	client	help_contains_literal	resume	unavailable	30	Codex CLI help exposes session resume support.
codex-cli	codex	mcp_surface	client	help_contains_literal	mcp	unavailable	30	Codex CLI help exposes MCP management support.
claude-code	claude	custom_agents	client	help_contains_literal	--agents	unavailable	30	Claude Code help exposes custom-agent configuration support.
claude-code	claude	session_resume	client	help_contains_literal	--resume	unavailable	30	Claude Code help exposes session resume support.
claude-code	claude	subagent_spawning	client	manual_only	-	unverified	30	No reliable local probe defined yet; verify with official docs or controlled runtime testing.
claude-ai-web	manual	subagent_spawning	client	manual_only	-	unverified	30	Web-hosted sessions do not expose a local probe in this repo; verify with official product docs or controlled runtime testing.
gemini-cli	gemini	hooks	client	help_contains_literal	hooks	unavailable	30	Gemini CLI help exposes hooks support.
gemini-cli	gemini	session_resume	client	help_contains_literal	--resume	unavailable	30	Gemini CLI help exposes session resume support.
gemini-cli	gemini	subagent_spawning	client	manual_only	-	unverified	30	No reliable local probe defined yet; verify with official docs or controlled runtime testing.
generic-llm	manual	subagent_spawning	client	manual_only	-	unverified	30	Prompt-only or unknown hosts must stay unverified until manually checked.
generic-llm	manual	filesystem_access	environment	manual_only	-	unverified	30	Tool and file access depend on the host wrapper, not the base model alone.
